Id,SalePrice
1461,127531.0
1462,154022.5
1463,178735.8
1464,181269.34
1465,203901.06
1466,183125.45
1467,170336.39
1468,176511.5
1469,183333.67
1470,116736.76
1471,197828.56
1472,94730.93
1473,98606.0
1474,152430.5
1475,138315.45
1476,381637.12
1477,252698.25
1478,306866.21
1479,238978.76
1480,451522.88
1481,302372.45
1482,207684.79
1483,178071.13
1484,176313.96
1485,172826.24
1486,199333.49
1487,336273.66
1488,231179.9
1489,209228.83
1490,203933.54
1491,189800.85
1492,99470.86
1493,173753.84
1494,303659.61
1495,290829.46
1496,227376.04
1497,191915.25
1498,153395.88
1499,152406.01
1500,156682.73
1501,171041.85
1502,163771.68
1503,295650.94
1504,226298.65
1505,219461.75
1506,183076.74
1507,223275.53
1508,199243.55
1509,164818.0
1510,151456.5
1511,152312.18
1512,172944.24
1513,150088.14
1514,160380.0
1515,188152.64
1516,156647.0
1517,156491.62
1518,128011.91
1519,224072.86
1520,139928.25
1521,149188.75
1522,163273.5
1523,114233.32
1524,123678.13
1525,126692.4
1526,132201.0
1527,101342.19
1528,128579.84
1529,144484.0
1530,165296.34
1531,124500.71
1532,108080.13
1533,146039.33
1534,117594.67
1535,160264.34
1536,116794.5
1537,74797.36
1538,179458.35
1539,247805.57
1540,115700.3
1541,148083.56
1542,143525.28
1543,212286.85
1544,77531.33
1545,105826.0
1546,124359.0
1547,138704.28
1548,131902.31
1549,116715.5
1550,146833.6
1551,116450.85
1552,147671.2
1553,147742.27
1554,112837.94
1555,166526.87
1556,96588.04
1557,122012.14
1558,95920.18
1559,114839.42
1560,151241.34
1561,152686.04
1562,124899.83
1563,125749.83
1564,164466.29
1565,158018.16
1566,212783.75
1567,79829.52
1568,223467.8
1569,146818.65
1570,124933.25
1571,135125.68
1572,147716.62
1573,235536.92
1574,119694.88
1575,207750.7
1576,215716.0
1577,206198.42
1578,152206.32
1579,145271.9
1580,189572.2
1581,142551.62
1582,129102.0
1583,331167.84
1584,236683.86
1585,139710.0
1586,74508.11
1587,105091.02
1588,155312.59
1589,103637.36
1590,135065.5
1591,107884.72
1592,124977.7
1593,118144.0
1594,131295.23
1595,120021.13
1596,229147.13
1597,161219.56
1598,189013.98
1599,211197.86
1600,198382.3
1601,76420.98
1602,116900.92
1603,95946.84
1604,291245.42
1605,251943.57
1606,167023.82
1607,163404.43
1608,208643.9
1609,200942.22
1610,165856.21
1611,148657.74
1612,164747.54
1613,167731.69
1614,119465.82
1615,84947.0
1616,80058.86
1617,90636.0
1618,127377.0
1619,132458.0
1620,159336.2
1621,141210.46
1622,152299.67
1623,297894.39
1624,212262.26
1625,131698.41
1626,172364.74
1627,186330.55
1628,283567.58
1629,174496.9
1630,346654.94
1631,223251.98
1632,244548.64
1633,170644.01
1634,181838.4
1635,177613.8
1636,163193.67
1637,171019.09
1638,217064.15
1639,178200.0
1640,250541.19
1641,184699.74
1642,220487.2
1643,227552.3
1644,224353.27
1645,183017.74
